date,DAH,treatment,tunnel,basket_label,shelf_life (days),basket_weight_before(g),basket_weight_after(g),weight_diff,fruit no.
03/06/2025,14,shaded,S1,A,9,223,218.1,4.9,14
03/06/2025,14,shaded,S1,B,9,241.7,235.8,5.9,20
03/06/2025,14,shaded,S1,C,9,224.1,219.2,4.9,19
03/06/2025,14,shaded,S1,D,9,253.9,248.7,5.2,16
03/06/2025,14,shaded,S1,E,9,250.4,245.1,5.3,18
03/06/2025,14,shaded,S1,F,9,188.4,183.3,5.1,14
03/06/2025,14,shaded,S1,G,9,268.6,262.5,6.1,16
03/06/2025,14,shaded,S1,H,9,238.8,232.9,5.9,13
03/06/2025,14,shaded,S2,A,9,117.9,113.7,4.2,8
03/06/2025,14,shaded,S2,B,9,253.4,247.7,5.7,17
03/06/2025,14,shaded,S2,C,9,254.4,249.1,5.3,17
03/06/2025,14,shaded,S2,D,9,196.3,192.2,4.1,15
03/06/2025,14,shaded,S2,E,9,210.4,204.4,6,14
03/06/2025,14,shaded,S2,F,9,229.1,223.4,5.7,16
03/06/2025,14,shaded,S2,G,9,232.2,226.9,5.3,17
03/06/2025,14,shaded,S3,A,9,194.1,189,5.1,11
03/06/2025,14,shaded,S3,B,9,233.4,227.4,6,14
03/06/2025,14,shaded,S3,C,9,236.2,230.4,5.8,16
03/06/2025,14,shaded,S3,D,9,193.1,186.9,6.2,12
03/06/2025,14,shaded,S3,E,9,198.9,193.5,5.4,19
03/06/2025,14,shaded,S3,F,9,189.7,184.8,4.9,16
03/06/2025,14,control,C1,A,9,167.2,163.1,4.1,14
03/06/2025,14,control,C1,B,9,220.8,216,4.8,18
03/06/2025,14,control,C1,C,9,237.4,232.4,5,17
03/06/2025,14,control,C1,D,9,198.2,193.3,4.9,13
03/06/2025,14,control,C1,E,9,209.8,204.7,5.1,13
03/06/2025,14,control,C1,F,9,209,204.1,4.9,13
03/06/2025,14,control,C2,A,9,196.1,191.9,4.2,13
03/06/2025,14,control,C2,B,9,209.8,204.7,5.1,16
03/06/2025,14,control,C2,C,9,213.1,208.2,4.9,15
03/06/2025,14,control,C2,D,9,230.2,225.1,5.1,17
03/06/2025,14,control,C2,E,9,225.1,220.2,4.9,16
03/06/2025,14,control,C2,F,9,221.3,215.5,5.8,19
03/06/2025,14,control,C3,A,9,187.7,182.6,5.1,15
03/06/2025,14,control,C3,B,9,229.8,223.9,5.9,18
03/06/2025,14,control,C3,C,9,245,239,6,16
03/06/2025,14,control,C3,D,9,201,195.9,5.1,16
03/06/2025,14,control,C3,E,9,171.9,166.9,5,15
10/06/2025,21,shaded,S1,A,10,287,278,9,24
10/06/2025,21,shaded,S1,B,10,261.2,253.9,7.3,17
10/06/2025,21,shaded,S1,C,10,271.4,263.7,7.7,20
10/06/2025,21,shaded,S1,D,10,281.2,274.1,7.1,20
10/06/2025,21,shaded,S1,E,10,257.5,250,7.5,23
10/06/2025,21,shaded,S1,F,10,283.4,275,8.4,
10/06/2025,21,shaded,S1,G,10,282.8,274,8.8,27
10/06/2025,21,shaded,S1,H,10,281.8,274.1,7.7,24
10/06/2025,21,shaded,S2,A,10,319.8,311.1,8.7,21
10/06/2025,21,shaded,S2,B,10,274.1,266.5,7.6,17
10/06/2025,21,shaded,S2,C,10,283.2,275.3,7.9,20
10/06/2025,21,shaded,S2,D,10,298.3,289.4,8.9,17
10/06/2025,21,shaded,S2,E,10,271.8,263.6,8.2,17
10/06/2025,21,shaded,S2,F,10,300.1,292.3,7.8,22
10/06/2025,21,shaded,S2,G,10,260.6,252.6,8,22
10/06/2025,21,shaded,S2,H,10,301.9,294,7.9,24
10/06/2025,21,shaded,S3,A,10,270.4,263.1,7.3,16
10/06/2025,21,shaded,S3,B,10,253.1,244.1,9,19
10/06/2025,21,shaded,S3,C,10,268.6,260,8.6,21
10/06/2025,21,shaded,S3,D,10,264.3,256.5,7.8,16
10/06/2025,21,shaded,S3,E,10,240.8,233.9,6.9,17
10/06/2025,21,shaded,S3,F,10,276.7,268.8,7.9,15
10/06/2025,21,shaded,S3,G,10,278.2,270.1,8.1,21
10/06/2025,21,shaded,S3,H,10,283,274.1,8.9,21
10/06/2025,21,control,C1,A,10,230,222.8,7.2,21
10/06/2025,21,control,C1,B,10,272.8,263.1,9.7,26
10/06/2025,21,control,C1,C,10,261.1,250.3,10.8,21
10/06/2025,21,control,C1,D,10,230.8,222.1,8.7,22
10/06/2025,21,control,C1,E,10,250.9,241.6,9.3,17
10/06/2025,21,control,C1,F,10,260.7,252.5,8.2,22
10/06/2025,21,control,C1,G,10,243,234.7,8.3,17
10/06/2025,21,control,C1,H,10,270.6,260.7,9.9,21
10/06/2025,21,control,C2,A,10,293.1,285.3,7.8,19
10/06/2025,21,control,C2,B,10,271.4,257.2,,26
10/06/2025,21,control,C2,C,10,321.3,309.7,11.6,22
10/06/2025,21,control,C2,D,10,336.7,325.5,11.2,29
10/06/2025,21,control,C2,E,10,304.6,296.3,8.3,21
10/06/2025,21,control,C2,F,10,244,237.3,6.7,24
10/06/2025,21,control,C2,G,10,269.6,262.5,7.1,17
10/06/2025,21,control,C2,H,10,274.2,271.4,,24
10/06/2025,21,control,C3,A,10,261,253.5,7.5,24
10/06/2025,21,control,C3,B,10,278.5,270.6,7.9,23
10/06/2025,21,control,C3,C,10,281.6,273.8,7.8,26
10/06/2025,21,control,C3,D,10,268.1,260,8.1,21
10/06/2025,21,control,C3,E,10,259.1,252.2,6.9,19
10/06/2025,21,control,C3,F,10,236.6,229.8,6.8,
10/06/2025,21,control,C3,G,10,257.8,251.1,6.7,18
10/06/2025,21,control,C3,H,10,281,272.9,8.1,22
